,Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Miami Heat*,53,29,0.646,—,110.0,105.6,4.23
1,Boston Celtics*,51,31,0.622,2.0,111.8,104.5,7.02
2,Milwaukee Bucks*,51,31,0.622,2.0,115.5,112.1,3.22
3,Philadelphia 76ers*,51,31,0.622,2.0,109.9,107.3,2.57
4,Toronto Raptors*,48,34,0.585,5.0,109.4,107.1,2.38
5,Chicago Bulls*,46,36,0.561,7.0,111.6,112.0,-0.38
6,Brooklyn Nets*,44,38,0.537,9.0,112.9,112.1,0.82
7,Cleveland Cavaliers,44,38,0.537,9.0,107.8,105.7,2.04
8,Atlanta Hawks*,43,39,0.524,10.0,113.9,112.4,1.55
9,Charlotte Hornets,43,39,0.524,10.0,115.3,114.9,0.53
10,New York Knicks,37,45,0.451,16.0,106.5,106.6,-0.01
11,Washington Wizards,35,47,0.427,18.0,108.6,112.0,-3.23
12,Indiana Pacers,25,57,0.305,28.0,111.5,114.9,-3.26
13,Detroit Pistons,23,59,0.28,30.0,104.8,112.5,-7.36
14,Orlando Magic,22,60,0.268,31.0,104.2,112.2,-7.67
